Film_ID,Film_Name,Year,Decade,Role_Type,Film_Type,Career_Phase,Director,Lead_Actress,Co_Actor_Male_Lead,Music_Director,Production_House,Genre_Category,Verdict,Budget_Crores,Estimated_Collection_Crores,Inflation_Adjusted_Collection_2025,Box_Office_OpeningDay_Cr,Language,IMDB_Rating,Duration_Minutes,Release_Month,Number_of_Songs,Awards_Nominations,Character_Name,Notable_Song,Film_Status,Special_Notes
1,Dil Bhi Tera Hum Bhi Tere,1966,1960s,Lead,Solo,Rise,Arjun Hingorani,Neetu Singh,Vinod Khanna,Salil Chowdhury,Rajshri Productions,Comedy,Hit,0.43,134,8040.0,1.49,Hindi,5.7,174,March,8,0,Dharam,Yeh Dosti,Debut,Debut film
2,Shola Aur Shabnam,1963,1960s,Lead,Solo,Rise,Hrishikesh Mukherjee,Jaya Bhaduri,Sanjeev Kumar,Salil Chowdhury,Unknown,Drama,Super Hit,0.92,78,4680.0,0.87,Hindi,6.9,129,November,5,0,Prem,Jatt Yamla Pagla,Regular,
3,Phool Aur Patthar,1967,1960s,Lead,Solo,Rise,Ramesh Sippy,Neetu Singh,Sanjeev Kumar,Kalyanji-Anandji,Yash Raj Films,Action,Super Hit,1.64,92,5520.0,1.02,Hindi,6.2,137,May,4,0,Vijay,Mehbooba Mehbooba,Regular,Golden Jubilee hit
4,Mamta,1964,1960s,Lead,Solo,Rise,Anil Sharma,Hema Malini,Vinod Khanna,Laxmikant-Pyarelal,B.R. Films,Thriller,Hit,0.47,45,2700.0,0.5,Hindi,7.4,157,September,5,0,Dharam,Pal Pal Dil Ke Paas,Regular,
5,Devar,1966,1960s,Lead,Solo,Rise,Prakash Mehra,Hema Malini,Raj Babbar,Salil Chowdhury,Sippy Films,Romance,Hit,0.61,152,9120.0,1.69,Hindi,6.3,138,August,5,0,Singh,Pal Pal Dil Ke Paas,Regular,
6,Anupama,1969,1960s,Lead,Solo,Rise,Ramesh Sippy,Asha Parekh,Jeetendra,Madan Mohan,Dharma Productions,Romance,Average,1.5,169,10140.0,1.88,Hindi,6.6,155,February,5,1,Ram,Holi Ke Din,Regular,
7,Aaye Din Bahar Ke,1962,1960s,Lead,Solo,Rise,B.R. Chopra,Jaya Bhaduri,Bobby Deol,R.D. Burman,Unknown,Thriller,Hit,1.5,139,8340.0,1.54,Hindi,5.6,132,March,6,0,Dharam,Holi Ke Din,Regular,
8,Chandan Ka Palna,1966,1960s,Lead,Solo,Rise,Unknown,Jaya Bhaduri,Jeetendra,R.D. Burman,Deol Films,Comedy,Average,1.35,46,2760.0,0.51,Hindi,5.8,165,February,8,0,Inspector,Koi Haseena Jab,Regular,
9,Baharon Ki Manzil,1967,1960s,Lead,Solo,Rise,Vijay Anand,Sharmila Tagore,Vinod Khanna,Kalyanji-Anandji,Yash Raj Films,Family,Hit,1.45,62,3720.0,0.69,Hindi,6.5,122,August,7,0,None,Koi Haseena Jab,Regular,
10,Naya Zamana,1964,1960s,Lead,Solo,Rise,Vijay Anand,Jaya Bhaduri,Rajesh Khanna,Salil Chowdhury,Unknown,Comedy,Flop,1.18,75,4500.0,0.83,Hindi,6.7,129,June,7,0,Rakesh,Chupke Chupke Title,Regular,
11,Aya Sawan Jhoom Ke,1963,1960s,Lead,Solo,Rise,Ramesh Sippy,Sharmila Tagore,Bobby Deol,Unknown,Deol Films,Family,Flop,0.65,51,3060.0,0.57,Hindi,6.9,157,June,6,0,None,Chupke Chupke Title,Regular,
12,Ankhen,1967,1960s,Lead,Solo,Rise,Anil Sharma,Asha Parekh,Sunny Deol,Khayyam,B.R. Films,Family,Super Hit,0.82,45,2700.0,0.5,Hindi,6.2,120,December,5,0,Vijay,Jatt Yamla Pagla,Regular,
13,Pyar Hi Pyar,1967,1960s,Lead,Solo,Rise,B.R. Chopra,Asha Parekh,Jeetendra,Laxmikant-Pyarelal,Rajshri Productions,Romance,Super Hit,0.53,52,3120.0,0.58,Hindi,7.1,174,September,6,0,Ajay,Chupke Chupke Title,Regular,
14,Jal Bin Machhli Nritya Bin Bijli,1962,1960s,Lead,Solo,Rise,Arjun Hingorani,Zeenat Aman,Vinod Khanna,Madan Mohan,Unknown,Comedy,Average,1.84,85,5100.0,0.94,Hindi,7.5,146,August,6,0,Shankar,Mehbooba Mehbooba,Regular,
15,Sharafat,1965,1960s,Lead,Solo,Rise,Anil Sharma,Hema Malini,Jeetendra,Unknown,Deol Films,Drama,Super Hit,1.25,28,1680.0,0.31,Hindi,7.3,165,April,4,1,Vijay,Mehbooba Mehbooba,Regular,
16,Loafer,1964,1960s,Lead,Solo,Rise,Manmohan Desai,Neetu Singh,Bobby Deol,S.D. Burman,B.R. Films,Family,Hit,0.92,73,4380.0,0.81,Hindi,5.7,127,December,8,0,Shankar,Pal Pal Dil Ke Paas,Regular,
17,Chhupa Rustam,1961,1960s,Lead,Solo,Rise,Vijay Anand,Neetu Singh,Shatrughan Sinha,Unknown,B.R. Films,Action-Drama,Hit,1.03,70,4200.0,0.78,Hindi,6.7,170,April,7,0,Baldev,Dream Girl,Regular,
18,Dulhan Ek Raat Ki,1967,1960s,Lead,Solo,Rise,Manmohan Desai,Unknown,None,Kalyanji-Anandji,Rajshri Productions,Action-Drama,Flop,1.91,123,7380.0,1.37,Hindi,5.8,165,September,5,0,Vijay,Mehbooba Mehbooba,Regular,
19,Shikar,1965,1960s,Lead,Solo,Rise,Hrishikesh Mukherjee,Unknown,Jeetendra,Laxmikant-Pyarelal,Prakash Mehra Productions,Drama,Average,0.48,61,3660.0,0.68,Hindi,6.1,161,January,7,1,Raj,Main Jat Yamla Pagla Deewana,Regular,
20,Kanyadaan,1961,1960s,Lead,Solo,Rise,Raj Sippy,Rekha,Sunny Deol,Ravi,Unknown,Action-Drama,Flop,1.26,70,4200.0,0.78,Hindi,7.8,136,February,7,1,Singh,Koi Haseena Jab,Regular,
21,Aadmi Aur Insaan,1964,1960s,Lead,Solo,Rise,Prakash Mehra,Rakhee,Sunny Deol,Ravi,Unknown,Action,Flop,1.11,123,7380.0,1.37,Hindi,5.9,128,February,8,0,Singh,Holi Ke Din,Regular,
22,Yakeen,1960,1960s,Lead,Solo,Rise,B.R. Chopra,Zeenat Aman,Amitabh Bachchan,Salil Chowdhury,Prakash Mehra Productions,Family,Flop,1.3,140,8400.0,1.56,Hindi,6.7,125,June,7,0,Shankar,Chupke Chupke Title,Regular,
23,Intaquam,1969,1960s,Lead,Solo,Rise,Anil Sharma,Rekha,Jeetendra,Salil Chowdhury,Sippy Films,Drama,Hit,0.23,91,5460.0,1.01,Hindi,7.0,162,April,7,0,Ajay,Pal Pal Dil Ke Paas,Regular,
24,Shalimar,1965,1960s,Lead,Solo,Rise,Vijay Anand,Rekha,None,Kalyanji-Anandji,Sippy Films,Comedy,Hit,1.77,49,2940.0,0.54,Hindi,7.1,144,November,6,0,Raj,Yeh Dosti,Regular,
25,Ek Phool Do Mali,1968,1960s,Lead,Solo,Rise,Manmohan Desai,Mumtaz,Raj Babbar,Salil Chowdhury,Prakash Mehra Productions,Family,Hit,1.88,78,4680.0,0.87,Hindi,6.8,158,October,8,0,Veeru,Holi Ke Din,Regular,
26,Baharon Phool Barsao,1960,1960s,Lead,Solo,Rise,Unknown,Mumtaz,Sanjeev Kumar,Khayyam,Yash Raj Films,Drama,Average,1.22,128,7680.0,1.42,Hindi,5.6,168,March,4,0,Raja,Main Jat Yamla Pagla Deewana,Regular,
27,Satyakam,1969,1960s,Lead,Solo,Rise,Hrishikesh Mukherjee,Rekha,None,Laxmikant-Pyarelal,Dharma Productions,Romance,Hit,1.45,138,8280.0,1.53,Hindi,6.3,147,March,5,2,Raja,Chupke Chupke Title,Regular,
28,Raja Saab,1962,1960s,Lead,Solo,Rise,Prakash Mehra,Jaya Bhaduri,Sanjeev Kumar,Kalyanji-Anandji,B.R. Films,Comedy,Average,1.86,110,6600.0,1.22,Hindi,6.7,152,March,7,0,Ajay,Main Jat Yamla Pagla Deewana,Regular,
29,Kab Kyun Aur Kahan,1966,1960s,Lead,Solo,Rise,Prakash Mehra,Rakhee,Sanjeev Kumar,R.D. Burman,Dharma Productions,Romance,Hit,1.47,151,9060.0,1.68,Hindi,5.8,173,June,5,0,Rakesh,Koi Haseena Jab,Regular,
30,Pyar Ka Sapna,1963,1960s,Lead,Solo,Rise,Anil Sharma,Zeenat Aman,Shatrughan Sinha,S.D. Burman,B.R. Films,Family,Super Hit,0.47,154,9240.0,1.71,Hindi,6.4,156,August,4,0,Veeru,Koi Haseena Jab,Regular,
